Cities,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,sisimiut,44,GL,1521498599,86,66.94,-53.67,14.48,1.61
1,rikitea,48,PF,1521498600,100,-23.12,-134.97,80.09,15.48
2,alindao,76,CF,1521498600,82,5.04,21.21,74.06,4.74
3,jamestown,48,AU,1521498606,95,-33.21,138.6,62.54,9.66
4,leshukonskoye,36,RU,1521498607,64,64.9,45.76,3.05,5.19
5,blanquefort,90,FR,1521496800,93,44.91,-0.64,37.4,10.29
6,zelenoborsk,48,RU,1521498608,69,61.47,64.05,18.62,10.78
7,koslan,76,RU,1521498609,81,63.46,48.9,17.54,5.41
8,cape town,0,ZA,1521496800,82,-33.93,18.42,60.8,11.41
9,qaanaaq,0,GL,1521498610,98,77.48,-69.36,-17.21,11.23
10,hermanus,0,ZA,1521498610,99,-34.42,19.24,48.5,2.95
11,san patricio,8,PY,1521498611,67,-26.98,-56.83,71.9,5.19
12,puerto ayora,40,EC,1521496800,66,-0.74,-90.35,86.0,11.41
13,vaini,68,IN,1521498612,82,15.34,74.49,69.65,2.28
14,kirakira,76,SB,1521498613,100,-10.46,161.92,80.9,4.29
15,kapaa,90,US,1521496560,69,22.08,-159.32,73.4,18.34
16,beringovskiy,80,RU,1521498614,100,63.05,179.32,7.64,6.2
17,ushuaia,75,AR,1521496800,80,-54.81,-68.31,41.0,32.21
18,tuktoyaktuk,64,CA,1521496800,95,69.44,-133.03,-4.01,9.17
19,esperance,20,TT,1521496800,57,10.24,-61.45,80.6,12.75
20,mataura,32,NZ,1521498616,59,-46.19,168.86,76.94,21.52
21,itarema,12,BR,1521498617,81,-2.92,-39.92,79.64,9.22
22,hobart,40,AU,1521496800,50,-42.88,147.33,53.6,10.29
23,port elizabeth,90,US,1521496560,69,39.31,-74.98,51.8,11.41
24,georgetown,40,GY,1521496800,69,6.8,-58.16,80.6,13.87
25,hambantota,20,LK,1521498620,100,6.12,81.12,78.38,6.98
26,klaksvik,80,FO,1521498000,86,62.23,-6.59,39.2,8.05
27,castro,0,CL,1521498621,89,-42.48,-73.76,46.34,6.64
28,tiksi,0,RU,1521498622,52,71.64,128.87,-31.07,2.73
29,gloversville,1,US,1521496380,31,43.05,-74.34,33.8,19.46
30,puqi,92,CN,1521498489,100,29.72,113.88,46.25,14.25
31,leningradskiy,68,RU,1521498623,95,69.38,178.42,-7.67,13.69
32,saskylakh,0,RU,1521498624,35,71.97,114.09,-23.96,6.42
33,tilichiki,0,RU,1521498624,76,60.47,166.1,7.55,3.96
34,bandarbeyla,36,SO,1521498626,100,9.49,50.81,78.02,13.47
35,fairbanks,90,US,1521496680,68,64.84,-147.72,32.0,14.99
36,mar del plata,0,AR,1521498627,67,-46.43,-67.52,46.7,14.58
37,albany,1,US,1521496440,29,42.65,-73.75,33.8,11.41
38,grass valley,1,US,1521496800,28,39.22,-121.06,64.4,5.82
39,viedma,12,AR,1521498628,38,-40.81,-62.99,62.54,9.22
40,moron,40,VE,1521496800,52,10.49,-68.2,87.8,3.36
41,charyshskoye,0,RU,1521498629,80,51.4,83.56,22.22,8.77
42,half moon bay,1,US,1521496920,44,37.46,-122.43,68.0,9.17
43,lorengau,32,PG,1521498630,91,-2.02,147.27,85.22,13.58
44,bluff,0,AU,1521498631,58,-23.58,149.07,85.22,11.34
45,lebu,24,ET,1521498631,75,8.96,38.73,50.48,2.95
46,baruun-urt,0,MN,1521498632,58,46.68,113.28,22.04,4.41
47,punta arenas,40,CL,1521496800,97,-53.16,-70.91,44.6,21.92
48,alofi,88,NU,1521498633,100,-19.06,-169.92,82.43,2.62
49,altay,64,CN,1521498634,60,47.83,88.13,12.05,2.28
50,kimbe,92,PG,1521498634,100,-5.56,150.15,77.21,6.42
51,coihaique,20,CL,1521496800,65,-45.58,-72.07,44.6,4.7
52,ucluelet,90,CA,1521493200,70,48.94,-125.55,48.2,10.29
53,narsaq,36,GL,1521496200,42,60.91,-46.05,44.6,20.8
54,caravelas,0,BR,1521498636,100,-17.73,-39.27,81.62,16.6
55,guerrero negro,0,MX,1521498637,37,27.97,-114.04,73.25,9.33
56,bathsheba,20,BB,1521496800,74,13.22,-59.52,78.8,11.41
57,iqaluit,90,CA,1521496800,85,63.75,-68.52,10.4,21.92
58,charters towers,92,AU,1521498377,93,-20.07,146.27,73.79,7.65
59,mahebourg,75,MU,1521496800,88,-20.41,57.7,78.8,5.82
60,carnarvon,0,ZA,1521498639,39,-30.97,22.13,52.28,5.19
61,new norfolk,40,AU,1521496800,50,-42.78,147.06,53.6,10.29
62,fortuna,20,ES,1521496800,57,38.18,-1.13,55.4,11.41
63,mehtar lam,75,AF,1521496560,63,34.67,70.21,60.8,1.72
64,bad durkheim,1,DE,1521496560,73,49.47,8.17,28.4,5.82
65,port alfred,0,ZA,1521498642,99,-33.59,26.89,62.27,5.75
66,leh,36,IN,1521498643,85,34.16,77.58,-16.04,1.95
67,seabra,32,BR,1521498643,94,-12.42,-41.77,65.42,2.39
68,dikson,80,RU,1521498644,100,73.51,80.55,-2.18,35.84
69,veraval,90,FR,1521496800,93,49.65,0.71,33.8,11.41
70,khandagayty,12,MN,1521498645,61,50.73,92.07,3.32,2.62
71,yellowknife,75,CA,1521493200,54,62.45,-114.38,28.4,3.36
72,busselton,0,AU,1521498646,100,-33.64,115.35,69.02,21.74
73,quatis,12,BR,1521498647,90,-22.41,-44.26,66.23,2.06
74,atuona,68,PF,1521498647,100,-9.8,-139.03,81.08,14.81
75,arraial do cabo,0,BR,1521493200,66,-22.97,-42.02,89.6,17.22
76,colares,0,PT,1521496800,66,38.8,-9.45,50.0,11.41
77,lovozero,44,RU,1521498648,76,68.01,35.02,6.65,3.62
78,lasa,75,CY,1521496800,82,34.92,32.53,64.4,5.82
79,clyde river,20,CA,1521496800,62,70.47,-68.59,-13.01,5.82
80,lompoc,1,US,1521496560,28,34.64,-120.46,68.0,9.17
81,faanui,56,PF,1521498650,100,-16.48,-151.75,81.35,20.85
82,norman wells,75,CA,1521493200,67,65.28,-126.83,21.2,8.05
83,ribeira grande,88,PT,1521498651,96,38.52,-28.7,63.62,15.03
84,lakatoro,24,VU,1521498651,81,-16.11,167.42,85.13,3.74
85,shahreza,0,IR,1521498652,52,32.01,51.87,24.65,4.07
86,tual,32,ID,1521498652,100,-5.67,132.75,81.98,7.99
87,lowestoft,76,GB,1521496200,74,52.48,1.75,37.4,13.87
