Tweet,Compound,Date,Negative,Neutral,Positive,Source,Text,User
0,-0.3818,Mon Mar 19 19:33:04 +0000 2018,0.11,0.89,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","Follow the dramatic and deadly series of events that took place at two funerals in Belfast in March 1988. 

The Fun… https://t.co/y3MZaR8hsi",BBC
1,0.1531,Mon Mar 19 18:33:05 +0000 2018,0.116,0.709,0.175,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","Leonardo DiCaprio stars in the true story of a con man who cashed fake cheques worth millions. 

Catch Me If You Ca… https://t.co/HWShPj9ngi",BBC
2,-0.1027,Mon Mar 19 18:03:01 +0000 2018,0.08,0.92,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","?? @AlanCarr learned the hard way that you only get one shot at a school photo. #LiveAtTheApollo 

https://t.co/fv5JmcRgz4",BBC
3,0.0,Mon Mar 19 17:30:08 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",?Pop band @FifthHarmony have announced they're taking a break to pursue solo careers ?https://t.co/tLOR7h1gZy https://t.co/5c77Cfjfp6,BBC
4,-0.7096,Mon Mar 19 17:00:05 +0000 2018,0.414,0.442,0.144,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","Murder. Innocence. Lies. 

@AgathaChristie classic, #OrdealByInnocence, comes to @BBCOne soon.
https://t.co/qfJThHowXC",BBC
5,0.0,Mon Mar 19 16:33:29 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",Here are the latest snow scenes from around the UK. ??? https://t.co/eTBGkQ4MPU https://t.co/txRHxkOn5C,BBC
6,0.0,Mon Mar 19 15:02:02 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",'Flabbergasted'. ?This is the incredible moment when eight London teenagers heard a live opera singer for the first… https://t.co/jNki4Z61SE,BBC
7,0.0,Mon Mar 19 14:30:08 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","Meet the dancing slum kids tipped for stardom by Rihanna ?
https://t.co/R61fzQGIzd https://t.co/wGcvBKmdaZ",BBC
8,0.6588,Mon Mar 19 13:44:55 +0000 2018,0.0,0.788,0.212,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RT @bbcgetinspired: The Nation's Billion Steps Challenge is here! ? 

Yesterday we did an amazing 431 million steps – can we do even better…",BBC
9,-0.3412,Mon Mar 19 13:03:04 +0000 2018,0.112,0.888,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>","? ""There's always that voice in the back of your head that says you're not good enough"". 

 ? @CarrieHFletcher on b… https://t.co/0AsBxFFiQA",BBC
10,0.0,Mon Mar 19 12:55:17 +0000 2018,0.0,1.0,0.0,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",RT @BBCRadioScot: This must have been some buzz! ??? https://t.co/0gqtbQBN1i,BBC
11,0.0,Mon Mar 19 12:30:05 +0000 2018,0.0,1.0,0.0,"<a href=""http://www.radian6.com"" rel=""nofollow"">Radian6 -Social Media Management</a>",Where are the UK's youngest and oldest city populations? https://t.co/eIU7UzqHBS https://t.co/vdXMTDluuX,BBC
